Modelo,params,accuracy,precision,recall,f1,roc_auc,brier_score
LogisticRegression,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8965296056269492,0.617274472168906,0.3040272263187748,0.4073980238155561,0.9046202583220301,0.07211079512061537
LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8997810267412798,0.6224951519069166,0.3641520136131594,0.45950137182392936,0.9083573149149634,0.07055396212831047
LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9004667005817169,0.6240956275558351,0.37511816978634904,0.46858762399622106,0.9082391557846745,0.07048223584424601
LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9005551746256442,0.6243336469112575,0.37644167139345813,0.46968624675631043,0.908233879850924,0.07047029222129292
RandomForest,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 25}",0.8840105284112274,0.8082191780821918,0.01115522783134808,0.022006713912719134,0.8677581593238978,0.08507520426042163
RandomForest,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.883501802658645,0.8055555555555556,0.00548307808659482,0.010892018779342722,0.8800204854940759,0.08348803510584256
RandomForest,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.8836123952135542,0.7755102040816326,0.007184723010020798,0.01423754215061821,0.8848503044730001,0.0835087376440481
RandomForest,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 25}",0.8840105284112274,0.8082191780821918,0.01115522783134808,0.022006713912719134,0.8677581593238978,0.08507520426042163
RandomForest,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.883501802658645,0.8055555555555556,0.00548307808659482,0.010892018779342722,0.8800204854940759,0.08348803510584256
RandomForest,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.8836123952135542,0.7755102040816326,0.007184723010020798,0.01423754215061821,0.8848600133277474,0.08350066714470257
RandomForest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 25}",0.8887217712503594,0.8,0.06504065040650407,0.12030075187969924,0.8902563889734348,0.07714613222377036
RandomForest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8901594744641791,0.8289205702647657,0.07695216487048591,0.1408304498269896,0.8973298177238771,0.07625942671589436
RandomForest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.892946406847891,0.7965653896961691,0.11401020986954055,0.19947072444591465,0.9011279453811848,0.07664144737395867
RandomForest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 25}",0.8888766008272323,0.796420581655481,0.06730951030440536,0.12412831241283125,0.8903228283240805,0.07709994999543926
RandomForest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.8901152374422154,0.8255578093306288,0.07695216487048591,0.1407817364233829,0.8972653035680874,0.07629900903973218
RandomForest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.8928358142929818,0.7936507936507936,0.11344299489506524,0.19851116625310175,0.901122695495581,0.07665882303100888
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25}",0.8830151954170445,0.0,0.0,0.0,0.8550458845684992,0.09286782620598955
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.8830151954170445,0.0,0.0,0.0,0.8697121729024084,0.08647097932001112
XGBoost,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.8837008692574816,0.8297872340425532,0.00737379466817924,0.01461769115442279,0.8865573626749511,0.07939809588717993
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 25}",0.8830151954170445,0.0,0.0,0.0,0.8831338594661179,0.09127458530395065
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.8830151954170445,0.0,0.0,0.0,0.8927409298955424,0.08358719673428538
XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.8918625998097808,0.7994011976047904,0.10096426545660805,0.17928487493704884,0.9019017576806442,0.07550855324200051
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25}",0.89641901307204,0.7309451219512195,0.18131972017394593,0.29056203605514314,0.9014154624584682,0.0717012446311669
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.9001791599389529,0.6721384205856256,0.2864435621100397,0.4016969375580008,0.9128236556842659,0.06831860192585557
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9046913361792485,0.6624668435013262,0.3777651730005672,0.4811559301625527,0.9246964531299259,0.06521301453591158
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25}",0.9006878856915352,0.6864209052729818,0.27812440915106823,0.39585575888051666,0.9152237650902717,0.06800739947244014
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.9047134546902302,0.6556648682957791,0.39062204575534126,0.4895734597156398,0.9256155714647534,0.06479470772584706
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9066377651456504,0.643702906350915,0.4522594063149934,0.5312604108828428,0.9322632077341891,0.062821667431025
XGBoost,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 25}",0.9022804184822277,0.648280558392918,0.3599924371336737,0.462922441040603,0.919486137029412,0.06674773649230273
