Modelo,params,accuracy,precision,recall,f1,roc_auc,brier_score
XGBoost,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50}",0.9040277808497932,0.6358695652173914,0.42030629608621667,0.5060899260102447,0.9285072922829126,0.06448277670569906
XGBoost,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.9054654840636128,0.6348657985649747,0.4516921913405181,0.5278391515687141,0.9321321642432465,0.06340791799531527
XGBoost,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 25}",0.9057530247063768,0.6395980445410103,0.44526375496313103,0.5250250808159626,0.9303797822657188,0.06365958150239535
XGBoost,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50}",0.9070580168543053,0.6391092910161249,0.4721119304216298,0.5430622009569378,0.9329685394554926,0.06303076567158986
XGBoost,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.9063502245028865,0.6290046466128638,0.48629230478351293,0.5485178076348902,0.9324780102254415,0.06364097943188432
KNN,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8903143040410519,0.5452799121844127,0.37568538476082436,0.44486734579648496,0.7947302117177277,0.08495720068125014
KNN,"{'n_neighbors': 3, 'weights': 'distance'}",0.8891862599809781,0.5374697824335214,0.37833238797504254,0.4440745672436751,0.7956812177203667,0.08543320354365644
KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.893786910265201,0.5767896562598549,0.3458120627717905,0.432387706855792,0.8362879367460819,0.07800491030943797
KNN,"{'n_neighbors': 5, 'weights': 'distance'}",0.8929021698259273,0.5687058100215185,0.34978256759311777,0.43315382814329195,0.8376264397177824,0.0782484459379722
KNN,"{'n_neighbors': 7, 'weights': 'uniform'}",0.8939638583530557,0.587117212249208,0.3153715258082813,0.4103321033210332,0.8580130076678449,0.07481608909516782
KNN,"{'n_neighbors': 7, 'weights': 'distance'}",0.8940965694189467,0.5851172273190621,0.32558139534883723,0.41836734693877553,0.8591107215697571,0.07496351912350546
